sample_id,sample_date,k,no3_n,mg,ca,nh4_n
Q1,1994-11-22,1.03,NA,3.19,5.68,NA
Q1,1994-11-29,1.01,NA,3.02,5.4,NA
Q1,1994-12-06,0.65,109,2.03,3.67,NA
Q1,1994-12-13,0.99,NA,3.18,5.76,NA
Q1,1994-12-20,1.45,NA,3.67,7.83,NA
Q1,1994-12-27,0.94,NA,3.28,5.78,NA
Q2,1988-01-05,0.77,255,2.57,5.01,18
Q2,1988-01-12,0.77,233,2.54,5.27,11
Q2,1988-01-19,0.74,221,2.61,5.28,18
Q2,1988-01-26,0.71,195,2.74,5.52,17
Q2,1988-01-29,0.87,183,1.86,4.05,14
Q2,1988-01-29,1.12,306,1.59,3.66,12
Q2,1988-01-29,0.99,364,1.58,3.75,31
Q2,1988-01-29,1.1,333,1.5,3.45,12
Q2,1988-01-29,1.03,268,1.74,3.96,14
Q2,1988-01-29,0.84,NA,1.94,4.07,41
Q2,1988-01-29,0.98,331,1.53,3.54,23
Q2,1988-01-29,0.84,NA,1.98,4.07,7
Q2,1988-02-02,0.9,223,1.64,3.6,12
Q2,1988-02-02,0.81,153,1.77,4.02,30
Q2,1988-02-03,0.91,282,2.48,5.42,16
Q2,1988-02-04,NA,NA,NA,NA,NA
Q2,1988-02-09,NA,NA,NA,NA,NA
Q2,1988-02-10,NA,NA,NA,NA,NA
Q2,1988-02-16,0.64,31,2.45,4.51,19
Q2,1988-02-23,0.82,231,2.73,5.15,19
Q2,1988-03-01,0.77,218,2.73,5.15,19
Q2,1988-03-08,0.7,209,2.56,4.91,27
Q2,1988-03-15,0.72,191,2.62,4.9,27
Q2,1988-03-23,0.82,139,1.35,1.73,9
Q2,1988-03-29,0.97,287,1.69,3.51,12
Q2,1988-04-05,0.78,174,2.64,4.85,NA
Q2,1988-04-12,0.69,173,2.71,4.77,NA
Q2,1988-04-19,0.77,212,2.16,4.05,23
Q2,1988-04-26,0.79,182,2.55,4.73,34
Q2,1988-05-03,0.81,164,2.57,4.74,58
Q2,1988-05-10,NA,NA,NA,NA,NA
Q2,1988-05-10,NA,NA,NA,NA,NA
Q2,1988-05-10,NA,NA,NA,NA,NA
Q2,1988-05-10,1.27,415,0.9,2.48,38
Q2,1988-05-10,0.77,162,2.66,4.35,54
Q2,1988-05-17,0.75,234,1.13,1.36,117
Q2,1988-05-24,0.67,213,2.37,4.26,54
Q2,1988-05-31,0.83,224,2.19,3.58,69
Q2,1988-06-07,0.72,188,2.63,4.36,71
Q2,1988-06-14,0.69,NA,2.59,4.12,118
Q2,1988-06-21,0.73,NA,1.88,3.48,NA
Q2,1988-06-28,0.71,NA,2.41,4.05,NA
Q2,1988-07-05,0.83,NA,2.43,3.83,NA
Q2,1988-07-12,0.71,NA,2.59,4.53,NA
Q2,1988-07-19,0.77,NA,1.84,3.36,NA
Q2,1988-07-22,0.81,NA,2.23,3.8,NA
Q2,1988-07-26,0.8,NA,1.88,3.38,NA
Q2,1988-07-26,0.71,NA,1.61,3.1,NA
Q2,1988-08-02,0.77,NA,2.55,1.32,NA
Q2,1988-08-09,0.77,NA,2.61,4.21,17
Q2,1988-08-16,0.86,NA,2.88,3.9,14
Q2,1988-08-23,0.73,NA,2.53,4.35,NA
Q2,1988-08-24,0.81,70,1.8,3.44,11
Q2,1988-08-24,0.87,238,1.14,2.75,NA
Q2,1988-08-24,0.95,172,1.15,2.47,NA
Q2,1988-08-24,0.82,133,0.55,1.04,NA
Q2,1988-08-24,NA,NA,NA,NA,NA
Q2,1988-08-30,0.69,241,2.43,4.92,NA
Q2,1988-09-06,0.7,216,2.64,5.12,NA
Q2,1988-09-13,0.73,240,2.29,4.25,NA
Q2,1988-09-20,0.75,227,2.54,4.73,NA
Q2,1988-09-27,0.68,246,2.63,4.78,17
Q2,1988-10-04,0.72,9,2.13,3.91,NA
Q2,1988-10-11,0.78,240,NA,NA,63
Q2,1988-10-18,NA,235,NA,NA,61
Q2,1988-10-25,0.83,NA,2.32,5.05,NA
Q2,1988-11-01,0.81,218,2.33,3.9,NA
Q2,1988-11-07,0.86,225,2.35,5.23,NA
Q2,1988-11-15,0.83,224,2.34,4.98,NA
Q2,1988-11-22,0.8,224,2.25,4.87,NA
Q2,1988-11-29,0.82,208,2.59,4.2,NA
Q2,1988-12-06,0.96,239,2.62,3.96,NA
Q2,1988-12-13,0.87,220,2.25,1.3,NA
Q2,1988-12-20,0.83,214,2.33,4.05,NA
Q2,1988-12-27,0.83,227,2.42,5.21,NA
Q2,1989-01-03,0.91,9,2.5,3.96,NA
Q2,1989-01-10,1,421,1.97,4.92,NA
Q2,1989-01-17,1,139,2.54,3.93,NA
Q2,1989-01-24,0.94,222,2.66,4.08,NA
Q2,1989-01-31,0.94,246,2.69,4.08,NA
